Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Matt Forte,76.0,63.0,477.0,4.0,7.6,6.3,2008
Maurice Jones-Drew,75.0,62.0,565.0,2.0,9.1,7.5,2008
Kevin Faulk,74.0,58.0,486.0,3.0,8.4,6.6,2008
Brian Westbrook,74.0,54.0,402.0,5.0,7.4,5.4,2008
Marion Barber III,61.0,52.0,417.0,2.0,8.0,6.8,2008
Reggie Bush,73.0,52.0,440.0,4.0,8.5,6.0,2008
LaDainian Tomlinson,77.0,52.0,426.0,1.0,8.2,5.5,2008
Steve Slaton,59.0,50.0,377.0,1.0,7.5,6.4,2008
Warrick Dunn,68.0,47.0,330.0,0.0,7.0,4.9,2008
Marshawn Lynch,67.0,47.0,300.0,1.0,6.4,4.5,2008
Leon Washington,61.0,47.0,355.0,2.0,7.6,5.8,2008
Dominic Rhodes,59.0,45.0,302.0,3.0,6.7,5.1,2008
Chester Taylor,55.0,45.0,399.0,2.0,8.9,7.3,2008
Frank Gore,66.0,43.0,373.0,2.0,8.7,5.7,2008
Chris Johnson,62.0,43.0,260.0,1.0,6.0,4.2,2008
Derrick Ward,55.0,41.0,384.0,0.0,9.4,7.0,2008
Steven Jackson,62.0,40.0,379.0,1.0,9.5,6.1,2008
Mewelde Moore,53.0,40.0,320.0,1.0,8.0,6.0,2008
Kevin Smith,54.0,39.0,286.0,0.0,7.3,5.3,2008
Fred Jackson,45.0,37.0,317.0,0.0,8.6,7.0,2008
Thomas Jones,42.0,36.0,207.0,2.0,5.8,4.9,2008
Jerious Norwood,54.0,36.0,338.0,2.0,9.4,6.3,2008
Tim Hightower,50.0,34.0,237.0,0.0,7.0,4.7,2008
Ronnie Brown,43.0,33.0,254.0,0.0,7.7,5.9,2008
Ray Rice,43.0,33.0,273.0,0.0,8.3,6.3,2008
Pierre Thomas,41.0,31.0,284.0,3.0,9.2,6.9,2008
Brandon Jackson,39.0,30.0,185.0,0.0,6.2,4.7,2008
J.J. Arrington,40.0,29.0,255.0,1.0,8.8,6.4,2008
Darren McFadden,39.0,29.0,285.0,0.0,9.8,7.3,2008
Darren Sproles,34.0,29.0,342.0,5.0,11.8,10.1,2008
Ricky Williams,39.0,29.0,219.0,1.0,7.6,5.6,2008
Clinton Portis,35.0,28.0,218.0,0.0,7.8,6.2,2008
Jamaal Charles,39.0,27.0,272.0,1.0,10.1,7.0,2008
Correll Buckhalter,32.0,26.0,324.0,2.0,12.5,10.1,2008
Joseph Addai,39.0,25.0,206.0,2.0,8.2,5.3,2008
Willis McGahee,32.0,24.0,173.0,0.0,7.2,5.4,2008
Earnest Graham,33.0,23.0,174.0,0.0,7.6,5.3,2008
Jamal Lewis,32.0,23.0,178.0,0.0,7.7,5.6,2008
Ladell Betts,35.0,22.0,200.0,0.0,9.1,5.7,2008
DeAngelo Williams,30.0,22.0,121.0,2.0,5.5,4.0,2008
Jason Wright,37.0,22.0,156.0,1.0,7.1,4.2,2008
Tashard Choice,30.0,21.0,185.0,0.0,8.8,6.2,2008
Adrian Peterson,39.0,21.0,125.0,0.0,6.0,3.2,2008
Cedric Benson,26.0,20.0,185.0,0.0,9.3,7.1,2008
Chris Perry,34.0,20.0,71.0,0.0,3.6,2.1,2008
Leonard Weaver,32.0,20.0,222.0,2.0,11.1,6.9,2008
Michael Bush,30.0,19.0,162.0,0.0,8.5,5.4,2008
Patrick Cobbs,27.0,19.0,275.0,2.0,14.5,10.2,2008
Kenneth Darby,21.0,19.0,183.0,0.0,9.6,8.7,2008
Le'Ron McClain,30.0,19.0,123.0,1.0,6.5,4.1,2008
Maurice Morris,27.0,19.0,136.0,2.0,7.2,5.0,2008
